#Energy data:
#X,Y,Z,Energy
5.15927,-33.2528,320.793,0.123786
-8.48416e-05,0.000546838,156.716,0.270547
0.000185587,-0.000231769,205.579,0.123916
67.5485,-108.581,141.515,0.0317257
58.2906,-135.709,170.948,0.0514742
20.5873,-48.7083,184.186,0.000481647
3.18385,-0.444749,185.171,0.0685157
101.518,-26.6327,396.405,0.00516908
94.508,-49.2371,403.732,0.00596063
10.9261,29.8084,306.875,0.0105336
39.5912,13.5724,367.947,0.0165962
-14.7956,92.8096,267.177,0.0149415
-37.6321,68.3688,266.278,0.0367523
-22.4716,67.7493,264.702,0.0293552
6.91173,44.4901,346.622,0.0733206
6.87481,44.3564,346.761,0.0489148
6.90489,44.2463,346.757,0.106586
4.84746,48.8189,340.634,0.075636
4.76083,48.9348,340.634,0.11472
17.61,13.0438,220.206,0.0192235
17.6668,13.1276,220.245,0.017826
17.6548,13.2264,220.327,0.0671013
17.6156,13.2949,220.482,0.0511682
17.6222,13.3428,220.691,0.0604162
17.6498,13.3609,220.864,0.0250054
17.6524,13.3732,220.962,0.0236538
17.6662,13.3866,221,4.84577e-32
17.6678,13.3914,221.01,0.0033702
17.6741,13.3998,221.027,0.0101555
17.6859,13.4032,221.042,0.00607073
17.7024,13.4064,221.061,0.0107753
17.7108,13.419,221.088,0.0162445
17.7011,13.4421,221.13,0.0179108
17.6701,13.4669,221.175,0.0182499
17.6133,13.5182,221.205,0.0709186
17.5798,13.5598,221.205,0.045784
-5.10596,5.78402,262.857,11.118
-5.12279,5.78924,262.854,4.70829
49.3422,33.6907,205.796,0.00053728
49.3564,33.8003,205.591,0.040028
48.9297,30.3052,212.522,0.00119034
52.3181,28.7359,215.273,0.00619262
42.4456,25.3674,215.301,0.00139174
29.7725,27.5702,225.101,0.0076041
51.85,5.98739,237.48,0.0133609
52.8717,22.4125,230.134,0.0149491
56.6462,23.642,241.555,0.0322795
61.1181,24.084,234.032,0.00520913
68.8494,19.2719,227.937,0.00340515
86.3364,18.2819,220.575,0.114075
34.3125,24.2139,273.231,0.0899101
111.696,-128.058,175.392,0.368492
112.279,-128.543,175,6.70229e-32
112.879,-129.368,174.517,0.410225
113.478,-130.2,174.017,0.00379738
113.479,-130.208,174,2.99064e-32
113.463,-130.409,173.517,0.240719
113.011,-130.518,173.057,0.138361
112.496,-130.443,173.04,0.0657922
112.418,-130.459,173,7.22273e-32
112.277,-130.521,172.898,0.0893361
111.991,-130.613,172.625,0.0913403
111.795,-130.632,172.286,0.0600451
111.703,-130.637,172.058,0.0210484
111.661,-130.652,172,4.19193e-32
111.63,-130.679,171.948,0.0228825
111.586,-130.74,171.835,0.0187943
111.568,-130.791,171.701,0.0367579
111.556,-130.868,171.54,0.0411425
111.536,-131.029,171.346,0.0508698
111.548,-131.179,171.199,0.0290273
111.563,-131.292,171.111,0.030893
111.538,-131.417,171.038,0.026112
111.524,-131.497,171.005,0.0139199
111.526,-131.516,171,6.00593e-32
111.524,-131.529,170.991,0.00453366
111.524,-131.552,170.969,0.00542988
111.537,-131.579,170.953,0.0125494
111.554,-131.609,170.943,0.00847964
111.566,-131.639,170.932,0.0058839
111.576,-131.674,170.92,0.00872889
111.591,-131.714,170.914,0.00960534
111.615,-131.753,170.904,0.012196
111.634,-131.785,170.877,0.0207795
111.645,-131.827,170.841,0.0184107
111.628,-131.899,170.788,0.0373479
111.632,-132.009,170.783,0.109914
111.662,-132.076,170.81,0.0214096
135.91,-135.178,180.396,0.105414
134.707,-142.92,172.655,0.0429741
134.814,-143.082,172.659,0.0744688
134.926,-143.196,172.611,0.154991
-9.42584,-123.557,201.778,0.00053728
-9.96052,-123.56,201.548,0.0755421
56.5073,-121.841,230.16,0.00642482
125.958,-94.4268,177.445,0.0335367
117.85,-116.881,204.231,0.0599873
98.207,-122.261,162.511,0.0729628
98.1408,-122.054,162.417,0.0940667
98.1212,-121.953,162.429,0.088273
106.22,-129.54,170.394,0.0796682
111.582,-128.282,175.392,0.297172
112.199,-130.123,175.5,0.501025
112.346,-131.256,176,4.40628e-32
112.254,-131.898,176.5,0.287132
112.161,-132.54,177,8.32222e-32
112.08,-133.154,177.23,0.222931
111.901,-134.169,177.73,0.158846
111.804,-134.569,178,5.30346e-32
111.668,-134.884,178.113,0.113846
111.282,-135.319,178.473,0.115225
110.9,-135.668,178.86,0.101972
110.766,-135.896,179,1.86422e-30
110.768,-136.032,179.001,0.0409782
110.713,-136.28,179.039,0.0486709
110.556,-136.519,179.071,0.0761334
110.333,-136.7,179.058,0.0725748
110.096,-136.793,179.14,0.0483707
109.886,-136.838,179.331,0.066234
109.693,-136.895,179.501,0.0608761
109.519,-137.056,179.585,0.0578181
109.344,-137.162,179.677,0.0612069
109.228,-137.189,179.847,0.086146
109.205,-137.263,179.965,0.116575
-21.4682,-36.5029,339.499,0.0851738
0.000267155,0.00045425,122.203,0.245053
-0.000565842,-0.000912486,295.893,1.39599
0.0173034,0.0177672,295.898,6.318
108.113,-34.5517,259.599,0.00053728
106.957,-35.4292,259.201,0.0319511
141.033,-9.69862,271.003,0.00420335
82.3926,-68.88,307.328,0.00408709
83.2176,-67.4364,308.372,0.00692902
49.0355,-93.3895,304.874,0.00876958
80.9434,-89.0177,282.196,0.00269299
143.29,-51.2947,300.442,0.0176902
125.589,-65.8688,296.346,0.00570162
-7.59542,-82.7185,403.517,0.0331972
28.1897,-25.6707,350.486,0.000496036
40.4763,11.785,315.829,0.0815592
34.42,-18.9958,319.246,0.0202188
36.0809,-21.7956,319.781,0.0340402
36.2501,-21.9057,319.926,0.0582104
36.3227,-21.959,320,5.98991e-32
36.3868,-22.0098,320.032,0.0254686
36.5278,-22.1361,320.127,0.0336992
36.6611,-22.2957,320.19,0.0389338
36.8073,-22.4307,320.17,0.0389215
36.9989,-22.4763,320.175,0.107475
37.2023,-22.4778,320.186,0.0608269
37.3991,-22.4475,320.214,0.0404826
37.5382,-22.3843,320.333,0.096825
37.6478,-22.2914,320.48,0.072426
37.7204,-22.1998,320.6,0.12969
1.47804,-2.36056,297.109,0.015658
1.44058,-2.4118,297.11,0.0122302
1.397,-2.45546,297.11,0.0129346
1.34143,-2.48735,297.116,0.0289319
1.30998,-2.51704,297.165,0.0243097
1.33093,-2.58921,297.187,0.0438214
1.34967,-2.66553,297.18,0.0771394
-2.83876,-3.9727,300.47,0.228792
-3.17242,-4.40559,300.923,0.0383746
-3.21641,-4.46082,301,3.80981e-32
-3.41634,-4.71787,301.189,0.164279
-3.86102,-5.15341,301.478,0.15256
-4.39108,-5.49464,301.787,0.208574
-4.67709,-5.65819,301.998,0.000552157
-4.6778,-5.659,302,3.54775e-32
-4.69501,-5.69744,302.057,0.0264187
-4.77207,-5.79539,302.12,0.0383948
-4.84861,-5.9193,302.147,0.0193142
-4.89826,-6.03066,302.209,0.0287206
-4.95265,-6.12174,302.297,0.0276329
-4.96678,-6.22635,302.406,0.0347062
-4.9192,-6.40731,302.497,0.0456057
-4.8553,-6.63443,302.599,0.0564671
-4.86353,-6.80418,302.712,0.130385
-4.9284,-6.91321,302.793,0.0555621
-5.00843,-6.98053,302.856,0.0556898
-5.05886,-6.99645,302.887,0.0545891
0.000378164,-0.000828077,307.783,1.74573
-7.03011,-110.906,335.176,0.00609489
-10.7694,-107.717,329.125,0.012767
-56.8404,-130.186,383.486,0.030222
-39.8984,-113.736,340.07,0.00329106
-38.083,-115.726,328.28,0.00487494
-34.9775,-115.856,325.196,0.00209327
69.2757,-104.756,281.663,0.0116911
