#Energy data:
#X,Y,Z,Energy
5.14552,-33.1642,319.937,0.123786
-9.44267e-05,0.000608618,156.298,0.270547
0.000205759,-0.000256961,205.933,0.123916
67.4372,-108.402,141.974,0.0317257
58.1945,-135.485,171.36,0.0514742
20.5533,-48.628,184.575,0.000481647
3.17857,-0.443914,185.558,0.0685157
101.355,-26.5934,396.447,0.00516908
94.357,-49.1619,403.762,0.00596063
10.9086,29.7574,307.06,0.0105336
39.5276,13.5475,368.033,0.0165962
-14.7711,92.6562,267.427,0.0149415
-37.5705,68.2553,266.529,0.0367523
-22.4347,67.6368,264.956,0.0293552
6.92352,44.4228,346.714,0.0465684
6.87222,44.3353,346.859,0.0270955
6.85328,44.2831,346.923,0.0138895
6.84839,44.2597,346.96,0.00963802
6.85127,44.2602,346.984,0.00368998
6.85401,44.2686,346.997,0.00975056
6.85642,44.2728,347,7.48765e-32
6.85624,44.2752,347.003,0.0100411
6.85605,44.2794,347.01,0.00262891
6.85417,44.2837,347.017,0.00302804
6.85224,44.2902,347.023,0.00353657
6.85112,44.3011,347.029,0.00368718
6.85141,44.315,347.039,0.00708458
6.85529,44.3314,347.051,0.00856359
6.87531,44.3452,347.054,0.0237521
6.90485,44.3519,347.058,0.0322998
6.91693,44.3558,347.067,0.0235673
4.90245,48.7275,340.775,0.051059
4.90934,48.8275,340.738,0.0389472
4.94976,48.8594,340.675,0.10035
17.6383,13.0925,220.498,0.085412
17.7618,13.3212,220.522,0.0440079
17.8245,13.5548,220.569,0.0454919
17.9257,13.7629,220.594,0.08602
17.9422,13.9604,220.625,0.0588036
17.9032,14.1185,220.627,0.144139
12.1703,69.3993,441.924,0.0231694
12.1675,69.3954,442,2.80152e-32
12.1386,69.3477,442.5,0.198191
12.1098,69.2999,443,2.97841e-32
11.9226,69.3571,443.5,0.158653
11.7354,69.4143,444,3.30478e-32
11.4283,69.5275,444.5,0.17009
11.1211,69.6407,445,3.1363e-32
11.042,69.7023,445.197,0.0703679
10.7732,69.7978,445.697,0.0862089
10.5836,69.8316,446,3.34906e-32
10.2356,69.9112,446.5,0.212649
9.88762,69.9909,447,3.76337e-32
9.48747,70.256,447.5,0.378007
9.08733,70.5212,448,3.02166e-32
8.90933,70.6994,448.5,0.141822
8.73134,70.8777,449,3.15373e-32
8.43021,70.9215,449.5,0.156882
8.12908,70.9654,450,3.8346e-32
7.62468,71.023,450.5,0.181625
7.12028,71.0807,451,2.87858e-32
6.93745,71.0285,451.5,0.188042
6.75462,70.9762,452,3.50088e-32
6.45857,70.8027,452.472,0.174891
6.15715,70.6288,452.972,0.00729442
6.15177,70.6286,453,2.81503e-32
5.97432,70.5474,453.37,0.133399
5.55028,70.5463,453.87,0.0895418
5.30368,70.6263,454,4.79053e-32
5.11425,70.7344,454.156,0.109326
4.85067,70.8933,454.56,0.0882225
4.73272,70.995,454.905,0.0430699
4.68892,71.0458,455,3.45428e-32
4.62922,71.122,455.097,0.0535274
4.52426,71.2537,455.313,0.0515565
4.38165,71.3587,455.501,0.0659188
4.163,71.438,455.611,0.0431108
3.93977,71.5304,455.642,0.0382383
3.70716,71.642,455.661,0.0899523
3.45899,71.7685,455.744,0.0476971
3.29137,71.924,455.773,0.0901111
3.1247,72.0596,455.706,0.126904
3.00551,72.1563,455.64,0.11438
10.9554,69.8876,445.429,0.0460198
11.0213,70.1022,445.435,0.0469501
11.1584,70.2956,445.427,0.045307
11.2667,70.5043,445.393,0.0648626
11.4061,70.5797,445.314,0.0562894
11.5603,70.5315,445.309,0.137588
-24.8723,28.175,483.858,0.499512
-24.9731,28.281,484,2.58318e-31
-25.3284,28.6518,484.5,1.9216
-25.6836,29.0225,485,2.63418e-31
-26.03,29.3865,485.5,1.67224
-26.3764,29.7505,486,2.73695e-31
-26.7251,30.1272,486.5,1.79153
-27.0738,30.5039,487,2.81929e-31
-27.4184,30.8833,487.5,2.06827
-27.7631,31.2626,488,2.91985e-31
-28.1039,31.6431,488.5,1.85789
-28.4447,32.0236,489,3.01399e-31
-28.7863,32.3995,489.5,1.81089
-29.128,32.7754,490,3.11374e-31
-29.4723,33.145,490.5,2.10081
-29.8167,33.5146,491,3.23714e-31
-30.1633,33.876,491.5,2.119
-30.51,34.2375,492,3.38605e-31
-30.8519,34.602,492.5,2.11079
-31.1938,34.9666,493,3.53973e-31
-31.5299,35.3312,493.5,2.35505
-31.8661,35.6959,494,3.77399e-31
-32.208,36.0647,494.5,2.2686
-32.5499,36.4335,495,4.0078e-31
-32.8874,36.8076,495.5,2.66208
-33.2249,37.1817,496,4.24117e-31
-33.5459,37.5447,496.5,2.70587
-33.867,37.9077,497,4.63624e-31
-34.1897,38.2752,497.5,3.06368
-34.5124,38.6426,498,5.16152e-31
-34.8124,38.9958,498.473,3.28241
-35.1292,39.3687,498.973,0.192721
-35.146,39.3885,499,5.8699e-31
-35.3763,39.6617,499.374,2.73704
-35.6797,40.0265,499.874,1.00388
-35.7528,40.118,500,7.01694e-31
-0.307797,-0.441545,446.508,1.8243
-0.615595,-0.883091,447,3.28781e-31
-0.921797,-1.3348,447.5,2.2127
-1.228,-1.78651,448,3.44728e-31
-1.53031,-2.24203,448.5,2.20548
-1.83261,-2.69756,449,3.63175e-31
-2.13603,-3.15627,449.5,2.20737
-2.43945,-3.61499,450,3.84134e-31
-2.74602,-4.07701,450.5,2.4556
