#Energy data:
#X,Y,Z,Energy
31.8798,-38.2776,119.797,4.01997e-10
31.6468,-40.9716,121.14,2.0229e-08
6.79876,-45.8168,119.959,1.12806e-07
-19.7498,-20.8508,69.9389,0.0335056
-0.000222657,-0.000284015,90.6579,0.270026
15.7231,119.157,155.182,4.27317e-08
41.8496,53.9567,161.986,1.04228e-08
29.5128,57.2475,163.872,9.39508e-09
-1.36627,43.5008,165.156,3.77422e-08
25.5551,73.0593,149.122,2.43654e-08
14.698,61.2447,138.009,2.16532e-08
28.1544,37.6206,123.298,3.32911e-08
29.1465,38.2468,125.923,3.18068e-08
30.3637,-0.758282,150.637,6.27679e-08
36.0295,7.75882,164.576,0.00323193
-2.44244,0.949531,7.16988,0.904323
17.9879,-76.4165,354.529,3.88718e-08
10.9943,-62.5482,348.692,7.02785e-08
49.1186,-82.3849,359.07,2.03836e-08
49.1413,-82.3767,359.082,8.58308e-08
54.0472,-80.7504,355.284,1.12634e-07
72.5633,-90.7628,335.986,3.89991e-09
58.1949,-95.6931,308.784,6.04068e-08
94.0366,-94.6431,335.744,0.000260495
95.6027,-102.611,355.897,0.000834498
30.5556,-27.9965,287.928,0.0388379
12.8203,-77.9822,77.937,9.59208e-08
0.469038,-37.9813,87.2759,2.03599e-08
24.0609,6.82433,104.642,0.0344589
-0.000422317,-0.000260555,179.235,0.870877
125.764,85.356,39.8237,1.441e-08
64.7224,70.2124,65.9742,4.15075e-08
68.2871,68.1853,60.9592,4.95911e-08
68.4714,65.3245,76.1416,1.74823e-08
47.523,38.5447,83.9045,6.67369e-08
29.2906,37.7493,68.8444,3.99523e-08
19.6052,15.1729,57.1725,7.25067e-08
19.2041,9.71202,57.4289,1.68402e-08
15.4311,6.13544,48.1153,1.37225e-08
13.4888,-3.69466,34.1899,2.97914e-08
25.7982,26.3227,34.1083,4.71518e-08
-43.5003,52.9611,371.962,3.61542e-08
-83.6449,57.0765,322.282,1.09139e-08
-86.3072,42.5819,275.384,0.152407
47.1899,4.57398,216.491,5.35201e-08
59.0144,-2.37747,214.437,8.10396e-08
64.5857,-40.2273,203.426,4.71609e-08
53.1217,-35.4742,198.883,6.95727e-08
38.8419,-47.6938,155.486,3.21797e-08
44.2898,-37.399,127.205,1.22127e-07
11.8353,-47.6401,127.258,4.59513e-08
-7.26007,-86.8845,151.185,4.96566e-08
2.90437,-89.0774,138.955,2.95822e-08
-11.3657,-81.6157,119.229,3.84225e-08
13.1208,-59.8227,120.488,2.90675e-08
15.227,-63.3631,113.789,1.64273e-08
41.0668,-20.168,129.454,7.09624e-08
54.363,13.5166,130.609,0.000654091
49.9758,6.83714,118.35,0.372506
48.6675,9.41958,118.663,0.199539
8.56129e-06,0.000198518,359.847,0.0686184
-36.7563,27.5522,5.57439,4.98258e-08
-14.6406,42.729,12.1828,5.04351e-08
-14.2136,46.8882,19.9541,5.01859e-08
-2.79061,-3.2234,27.4527,1.17307e-08
-2.23879,-3.74269,27.3034,2.26682e-08
-12.7227,-4.46187,35.516,2.77196e-08
-14.3054,-2.83126,32.8196,6.97328e-08
1.44524,-0.326618,11.5694,0.189667
0.000351723,-0.000693325,22.6891,0.825082
34.3893,-25.4621,46.1176,0.617472
33.0528,-28.8231,51.269,0.109287
42.3893,-25.7256,105.688,0.824994
77.2044,-75.8962,430.834,0.0398645
9.26594e-05,0.00033683,179.3,0.488588
-0.000759076,-2.36835e-05,36.1027,1.17194
-68.1407,-79.1888,260.947,2.50384e-08
-69.4174,-80.341,260.169,2.88346e-08
-54.3781,-39.5246,254.06,1.49284e-08
-92.3362,-49.8267,254.916,5.02575e-05
55.157,-57.6352,90.78,4.80595e-08
58.888,-58.2377,94.4041,3.77877e-08
60.9176,-58.2898,86.1756,6.72117e-09
48.7814,-51.8938,112.149,5.82622e-09
41.6848,10.3213,108.995,0.00924976
44.6159,11.8702,105.264,0.0490618
43.4956,-1.99981,109.506,0.07554
42.3519,39.3742,105.105,2.75941e-09
53.4082,40.0304,107.377,1.18265e-07
-2.35837,20.7773,151.052,0.000219394
-13.6842,-2.51889,64.7597,0.0353942
5.67399,4.26143,55.3581,0.263905
19.7162,57.0618,262.565,1.236e-08
24.7333,43.6071,257.667,1.24401e-08
15.7387,43.8042,248.827,7.16282e-08
34.3478,61.2584,254.894,5.54755e-08
32.3274,52.586,263.102,3.01588e-09
34.1044,44.4629,284.423,1.35242e-08
34.1326,31.4124,227.729,4.11947e-08
30.4404,-1.2108,172.312,4.15075e-08
31.1826,-8.3379,164.962,7.53535e-08
27.9284,-3.80653,164.916,1.27893e-08
27.5654,-6.30057,166.068,3.67145e-08
22.7928,-3.55159,161.368,5.73131e-05
42.396,17.4589,132.863,0.0576921
27.9816,-19.2126,123.985,0.018247
11.2784,0.206234,69.5676,0.0102129
0.000212869,-0.000179642,53.9035,1.28652
-7.55054,76.4384,27.5753,9.28464e-06
91.7349,32.7528,63.1139,9.49518e-07
-66.8915,5.4559,20.8354,1.38079e-08
-29.8007,24.7272,26.8881,4.64206e-09
-37.3577,23.5152,31.0428,8.33279e-09
-54.9166,27.9196,29.9263,3.73366e-08
