#Energy data:
#X,Y,Z,Energy
50.6449,8.56939,128.369,0.00053728
24.3548,-36.4006,115.844,0.00053728
-0.0288727,-0.0198855,90.6625,0.00053728
0.000978464,0.00298735,179.231,0.00053728
-0.00171975,-0.00394928,11.7022,0.00053728
-23.9337,16.9174,26.58,0.00053728
28.1185,-62.6385,142.735,0.00053728
-0.0134782,-0.00988605,179.286,2.923e-05
-116.666,-31.1389,95.1541,0.00053728
5.67439,4.26358,55.3591,0.00053728
-0.00157542,-0.000235891,53.9023,0.00053728
0.0214601,0.00218383,59.0951,0.00053728
124.229,54.44,374.389,0.00053728
-2.94417e-05,-0.00190543,55.8863,0.00053728
-58.6031,-42.5305,0.544959,0.00053728
0.000335332,0.00171545,69.9857,0.00053728
10.8066,15.958,123.781,0.00053728
9.78108,17.1624,125.15,0.00053728
0.0109741,0.00243201,36.1592,0.00053728
0.0129098,-0.00209376,14.9004,0.00053728
-0.0162883,0.00264169,14.9177,0.00053728
0.0018274,-0.000923079,14.9046,0.00053728
-0.00388174,-0.00015382,66.0698,0.00053728
0.00180313,-0.000845496,208.605,0.00053728
-1.63986,1.09298,92.1325,0.00053728
3.17216,-1.74086,84.3417,0.00053728
0.000684314,-0.000295586,89.3744,0.00053728
0.000382069,-5.71479e-05,86.7744,0.00053728
-91.0186,-105.955,207.773,1.84723e-05
40.063,-45.8439,201.686,8.57478e-05
51.7231,-57.3325,207.4,0.00053728
0.0969567,-0.845236,65.5119,2.923e-05
-0.883572,7.70268,82.2627,0.00053728
-0.000125703,0.000523313,67.1693,0.00053728
-15.8412,-9.8191,222.529,0.00053728
-77.1993,17.1684,136.77,0.00053728
-81.9249,36.678,141.351,0.00053728
41.0863,99.2525,308.713,0.00053728
0.0218472,-0.00581602,44.9417,0.00053728
109.384,5.79358,20.8101,0.00053728
-16.9633,9.86137,125.067,0.00053728
-14.9977,3.63932,143.232,0.00053728
-4.38647,-17.0729,243.224,0.00053728
-2.23498,18.2669,244.468,0.00053728
0.000457903,-0.00331743,235.184,0.00053728
-0.00701902,0.00213409,55.837,0.00053728
10.7597,-67.307,130.515,4.19278e-05
44.8845,-74.8756,205.193,0.00053728
0.00318302,0.0354906,67.1843,0.00053728
-7.46054e-05,-0.000325637,38.0759,0.00053728
-0.00627927,-0.00542826,171.767,0.00053728
0.0118038,0.0301634,171.799,0.00053728
-0.000395621,0.00453219,2.74192,0.00053728
-0.000859635,0.00137939,64.0331,0.00053728
-0.00273777,-0.00916306,177.365,2.923e-05
0.0100683,-0.00918772,53.3863,0.00053728
-0.00136197,0.00132881,218.987,0.00053728
38.5923,13.2021,222.179,0.00053728
0.0102165,-0.006218,25.8449,0.00053728
0.0061653,0.00780166,185.682,0.00053728
53.9793,-55.5857,126.53,0.00053728
53.3165,-54.3263,127.163,0.00053728
53.8394,-55.3111,126.663,0.00053728
60.8729,-80.421,120.032,0.00053728
-3.26584,-2.20448,47.5337,0.00053728
7.43835,-9.1047,43.3271,0.00053728
-70.7091,-14.2883,149.736,0.00053728
20.5588,11.5605,329.662,7.76558e-05
32.7881,69.5693,357.245,0.00053728
2.22259e-05,0.000194215,168.28,0.00053728
-3.85811,-2.21521,60.1658,0.00053728
-3.86392,-2.21235,60.1498,0.00053728
-2.20923,0.785585,142.267,0.00053728
6.49408,3.52498,134.268,0.00053728
-0.00142394,0.000740247,138.125,0.00053728
8.40144,60.185,163.977,2.923e-05
16.3777,15.1637,107.589,0.00053728
0.00131696,-0.0174169,200.957,0.00053728
-14.5349,-38.6955,92.6371,2.22986e-05
122.379,-48.08,6.75935,0.00053728
-0.00521166,-0.00131777,118.499,0.00053728
0.0233601,0.0758132,118.59,0.00053728
0.000879528,-0.000121748,95.2846,0.00053728
21.5114,-6.87828,247.403,0.00053728
47.7679,131.741,388.039,0.00053728
0.0121264,-0.011964,7.75816,0.00053728
0.00588228,0.002901,26.7291,0.00053728
89.079,-115.464,212.667,0.00053728
0.000904771,0.000396102,93.659,0.00053728
9.17494e-05,-9.78278e-06,189.225,0.00053728
-10.6371,41.0608,204.224,0.00053728
-0.00199476,0.00121669,15.38,0.00053728
2.8014,11.0049,18.1216,0.00053728
-0.996656,38.2314,168.546,0.00053728
0.111521,-4.27792,182.361,0.00053728
0.00036255,-0.000232235,180.971,0.00053728
