#Energy data:
#X,Y,Z,Energy
4.88347,-2.5212,412.026,0.00053728
0.281928,48.6078,81.9715,0.00053728
42.1557,40.7613,347.228,0.00053728
11.4509,3.72862,178.118,0.00053728
44.4417,46.5494,92.2555,0.00053728
-5.90442,-13.2673,241.986,0.00053728
13.5621,15.8387,10.9934,0.00053728
-38.2173,-39.8372,451.281,0.00053728
-88.341,-29.268,223.204,0.00053728
-4.15544,-2.71324,119.575,0.00053728
-11.1464,-26.8531,382.204,0.00053728
-114.148,-81.9562,117.116,5.47851e-05
-0.835384,0.693745,257.976,0.00053728
-13.8082,9.32073,155.437,0.00053728
-4.46931,34.0687,370.443,0.00053728
-5.50799,1.76628,87.0433,0.00053728
105.249,-71.8993,74.1848,0.00053728
45.2821,-124.929,35.0349,0.00053728
0.214522,0.37305,64.0116,2.923e-05
115.712,-64.8911,317.293,0.00053728
-69.5156,37.2947,38.2829,2.84573e-05
0.652974,1.4419,13.7485,0.00053728
-0.284309,1.04261,56.0325,0.00053728
57.4365,-21.6706,193.782,0.00053728
-19.8565,-20.8533,341.928,0.00053728
-11.1409,5.49863,191.061,0.00053728
-25.0887,18.9369,173.772,2.923e-05
-10.0829,2.19099,183.079,0.00053728
-7.79063,-3.07585,490.43,0.00053728
-0.01273,-0.0149866,480.776,0.00053728
4.03038,0.858986,159.394,0.00053728
1.41994,0.558306,155.668,0.00053728
8.77893,-4.37075,174.399,2.923e-05
-22.7326,-65.727,335.829,0.00053728
74.8031,-51.5904,87.8026,0.00053728
1.97998,6.45213,177.256,0.00053728
-35.5695,-112.084,153.712,0.00053728
-42.7142,-26.3034,129.27,0.00053728
-0.888116,0.904319,79.0945,0.00053728
-4.37301,6.14234,111.322,0.00053728
16.8892,-12.6443,255.087,0.00053728
15.1795,-10.6446,254.612,0.00053728
11.1251,-7.56352,161.448,0.00053728
1.43242,-0.148051,143.655,0.00053728
-148.259,6.07313,496.121,0.00053728
0.00458739,-0.0170299,45.4905,2.923e-05
-89.9486,77.3878,340.628,0.00053728
105.142,-8.44335,132.733,0.00053728
-53.3542,-74.9874,408.006,0.00053728
-15.4921,-0.411572,287.612,0.00053728
13.9975,-69.8695,328.763,0.00053728
-96.2719,-34.2833,186.017,0.00053728
1.34798,-0.527473,198.585,0.00053728
-0.205355,-0.745489,201.632,0.00053728
83.3203,-32.8395,103.978,0.00053728
-9.34377,-23.413,154.186,0.00053728
-79.5464,-97.6459,300.319,2.923e-05
4.27531,-9.62769,182.553,0.00053728
-49.9406,102.711,242.67,0.00053728
4.45212,-4.04382,4.6181,0.00053728
-22.0926,18.2401,430.722,0.00053728
66.5691,-8.65325,121.918,0.00053728
-55.4009,16.5601,443.958,2.923e-05
2.17239,-3.90404,234.076,0.00053728
-6.95068,-1.42866,168.128,0.00053728
-33.1812,4.49071,242.252,0.00053728
-2.54249,-0.558685,204.923,0.00053728
-90.9623,28.5702,437.059,0.00053728
-0.315524,-6.47969,31.1024,0.00053728
0.856124,-1.80832,19.5349,0.00053728
-61.8922,-33.468,131.02,0.00053728
66.5933,-83.3678,401.387,0.00053728
-6.03502,1.33416,37.9653,0.00053728
