#Energy data:
#X,Y,Z,Energy
0.000603884,0.000290407,400.969,0.00573308
0.00120777,0.000580826,401,2.90009e-32
0.00327183,0.0122536,401.5,0.169013
0.00533587,0.0239265,402,2.90121e-32
-0.0197664,0.0540974,402.5,0.143703
-0.0448687,0.0842683,403,2.89919e-32
-0.0905052,0.0717162,403.5,0.157512
-0.136142,0.059164,404,2.89663e-32
-0.176374,0.0223588,404.5,0.201448
-0.216606,-0.0144465,405,3.0616e-32
-0.0780553,-0.137509,405.5,0.168703
0.0604959,-0.260571,406,3.35017e-32
0.305942,-0.439498,406.5,0.202391
0.551388,-0.618425,407,3.17852e-32
0.788437,-0.680789,407.5,0.138826
1.02549,-0.743154,408,3.38738e-32
1.33926,-0.816086,408.5,0.247227
1.65303,-0.889017,409,3.50756e-32
1.98778,-1.03192,409.5,0.215536
2.32253,-1.17481,410,3.67902e-32
2.64302,-1.25521,410.359,0.143998
3.13553,-1.42642,410.859,0.0786131
3.30755,-1.51723,411,5.82066e-32
4.07055,-2.00784,411.499,0.326919
4.83474,-2.49903,411.999,9.35783e-05
4.83594,-2.49961,412,6.17541e-32
5.7288,-2.93521,412.5,0.368964
6.62166,-3.37081,413,4.68964e-32
7.23679,-3.67974,413.5,0.212657
7.85192,-3.98867,414,5.55602e-32
8.68986,-4.25781,414.5,0.314907
9.52781,-4.52695,415,8.96434e-32
11.0665,-4.81507,415.5,0.599819
13.4877,-5.02281,415.5,0.273097
14.3704,-4.94242,415,4.40592e-32
15.008,-4.82703,414.5,0.378271
15.6457,-4.71163,414,1.23939e-31
16.238,-4.71017,413.817,0.314441
17.4447,-4.95925,413.674,0.212268
18.64,-5.65176,413.811,0.317886
19.3589,-6.54098,413.593,0.327444
19.3832,-7.08325,413.218,0.240199
-0.0152105,0.0052422,306.818,0.0694921
-0.030421,0.0104844,307,2.94511e-32
-0.0787736,-0.0244129,307.421,0.148801
-0.123142,-0.0581686,307.921,0.0236794
-0.119157,-0.0570272,308,2.91091e-32
-0.128466,-0.0327297,308.5,0.150839
-0.137775,-0.00843216,309,2.92571e-32
-0.163617,0.0517804,309.5,0.147609
-0.189459,0.111993,310,3.73766e-32
0.105216,0.3947,310.5,0.217635
0.399891,0.677407,311,3.67137e-32
0.683966,0.949341,311.5,0.252573
0.968042,1.22127,312,3.69491e-32
1.29829,1.45341,312.5,0.255105
1.62855,1.68555,313,3.60114e-32
1.94634,1.8962,313.5,0.238424
2.26413,2.10684,314,4.40178e-32
2.78231,2.38383,314.5,0.264535
3.30048,2.66082,315,4.2598e-32
3.78086,2.94644,315.5,0.215804
4.26124,3.23207,316,3.55074e-32
4.58393,3.43075,316.5,0.223227
4.90662,3.62943,317,3.90116e-32
5.28146,3.92668,317.5,0.19256
5.65631,4.22393,318,4.31677e-32
6.11453,4.58508,318.5,0.216729
6.57276,4.94624,319,3.29312e-32
6.59462,4.97968,319.062,0.024051
6.88245,5.34869,319.562,0.252522
7.14842,5.68426,320,4.25879e-32
7.6872,5.92565,320.5,0.218716
8.22599,6.16703,321,5.41289e-32
8.93321,6.64158,321.5,0.322069
9.64044,7.11612,322,4.3418e-32
9.9004,7.37742,322.382,0.172059
10.2524,7.81339,322.882,0.0529785
10.3445,7.98807,323,5.63321e-32
10.8715,8.74003,323.5,0.4356
11.3986,9.49198,324,3.41458e-31
11.3392,10.4161,324.083,0.412038
10.9628,11.7399,324.506,0.212977
10.5691,12.4208,324.924,0.0914523
10.4925,12.702,325,2.28375e-31
10.6198,12.768,325.001,0.0385908
10.8216,12.9614,325.002,0.0409175
10.8963,13.0941,325.001,0.000766969
10.9018,13.2203,325,0.0435773
10.9254,13.435,325.036,0.0392051
11.0101,13.5585,325.15,0.0273966
11.1651,13.6262,325.3,0.0406477
11.316,13.6268,325.452,0.039703
11.4624,13.5142,325.587,0.0398538
11.6358,13.413,325.67,0.0284621
11.8429,13.3608,325.687,0.0591423
12.037,13.2645,325.683,0.191779
12.1405,13.1585,325.612,0.150927
0.0194609,0.0269294,79.7136,0.0370832
0.068378,0.0613474,79.9036,0.0176211
0.104553,0.0634093,79.9785,0.00795579
0.111272,0.0579825,79.9998,3.47034e-32
0.128801,0.0560324,80.0376,0.0131687
0.159527,0.0397611,80.114,0.0110459
0.190662,0.0176061,80.1797,0.0112479
0.237865,-0.00441496,80.2559,0.0161498
0.298726,-0.0729209,80.3791,0.0371689
0.375046,-0.209666,80.5158,0.0504974
0.43912,-0.317183,80.6853,0.0433921
0.443303,-0.325351,80.8493,0.0252791
0.458877,-0.29697,80.9324,0.02624
0.487136,-0.330545,80.9725,0.035957
0.482872,-0.381641,80.9932,0.00472033
0.481092,-0.387704,80.9998,6.03551e-32
0.478855,-0.389316,81.0057,0.102206
0.474261,-0.389814,81.017,0.007135
0.467239,-0.38441,81.0261,0.0162653
0.458971,-0.380629,81.0353,0.0376178
0.0883356,0.00792274,340.798,0.0523346
0.176671,0.0158455,341,2.98697e-32
0.409012,0.0549943,341.5,0.17267
0.641352,0.094143,342,2.8671e-32
0.821569,0.11145,342.5,0.225572
1.00179,0.128758,343,3.09683e-32
1.09317,0.398672,343.5,0.248852
1.18455,0.668585,344,3.22754e-32
0.936108,0.886944,344.5,0.20536
0.687665,1.1053,345,3.86265e-32
0.389138,1.32637,345.476,0.222482
0.07475,1.53637,345.976,0.00520175
0.0588888,1.52531,346,3.72612e-32
-0.241213,1.41938,346.217,0.113327
-0.585404,1.55789,346.7,0.258997
-0.621521,1.82056,346.983,0.00949233
-0.613549,1.83879,347,4.01329e-32
-0.586672,1.89072,347.077,0.0584746
-0.538542,2.00496,347.274,0.0472994
-0.48702,2.11458,347.496,0.0379915
-0.379978,2.18684,347.657,0.0271208
-0.223834,2.19437,347.771,0.0300203
-0.0695103,2.18253,347.899,0.0346651
0.117588,2.1944,347.981,0.0384015
0.32976,2.16697,347.967,0.0449268
0.484273,2.10865,347.837,0.0491356
0.608715,2.09935,347.623,0.0604649
0.600895,2.10857,347.414,0.144164
0.51762,2.12595,347.287,0.0966208
